平均速度,平均行驶速度,平均加速度,平均减速度,怠速时间比,加速时间比,减速时间比,速度标准差,加速度标准差
9.16,17.73,2.10,-1.59,0.59,0.33,0.36,8.04,2.04
20.39,29.31,3.28,-4.56,0.32,0.50,0.29,15.45,4.17
28.93,29.98,1.75,-1.48,0.05,0.53,0.45,7.28,2.12
3.45,22.21,2.11,-4.23,0.88,0.21,0.07,7.75,1.91
30.88,36.27,1.16,-1.67,0.16,0.55,0.34,14.83,2.03
0.45,10.30,3.57,-1.52,0.97,0.04,0.05,1.92,1.11
9.07,12.49,0.71,-0.68,0.68,0.54,0.38,2.75,0.82
83.81,87.74,0.67,-0.76,0.05,0.47,0.35,24.92,1.21
11.46,28.73,1.55,-1.35,0.61,0.24,0.20,15.24,1.40
20.04,37.35,1.84,-3.41,0.47,0.41,0.21,20.95,2.38
39.51,44.76,1.73,-2.09,0.12,0.52,0.40,19.51,2.61
20.37,24.55,1.93,-2.03,0.18,0.48,0.41,10.94,2.87
23.38,25.81,2.27,-1.77,0.12,0.45,0.49,10.43,2.38
3.09,21.26,3.89,-2.71,0.87,0.08,0.11,7.41,2.05
2.87,10.00,1.56,-1.02,0.96,0.32,0.36,3.13,1.99
8.85,10.30,0.83,0.0,0.75,1.00,0.00,1.05,0.75
29.18,30.62,2.20,-1.81,0.06,0.53,0.47,10.23,2.56
16.07,25.50,2.01,-1.80,0.37,0.28,0.32,15.15,2.38
19.62,19.92,2.26,-1.67,0.03,0.41,0.51,4.05,2.58
18.55,19.74,2.39,-1.48,0.11,0.41,0.53,5.61,2.33
0.37,12.02,2.36,-2.03,0.97,0.02,0.02,2.02,0.57
8.62,10.50,1.07,-0.50,0.83,0.60,0.40,1.27,0.92
40.29,40.65,1.68,-2.20,0.01,0.55,0.41,14.03,2.69
58.06,61.56,1.32,-1.33,0.06,0.44,0.41,21.15,2.05
91.95,92.69,0.65,-0.71,0.01,0.44,0.41,24.70,2.61
0.56,10.20,1.17,-1.20,0.99,0.09,0.08,1.75,0.69
32.02,33.21,1.62,-1.67,0.05,0.49,0.46,10.87,2.04
10.54,19.35,1.67,-1.49,0.47,0.26,0.28,9.93,1.79
11.34,13.56,1.13,-1.05,0.44,0.40,0.40,2.91,1.40
2.39,11.00,1.64,-1.29,0.94,0.19,0.21,3.51,1.34
19.41,24.12,1.71,-1.26,0.26,0.44,0.49,9.20,1.84
17.03,39.72,1.68,-2.75,0.57,0.27,0.16,20.85,1.98
9.45,12.08,1.32,-1.05,0.55,0.60,0.40,2.85,1.49
17.35,18.85,2.10,-2.60,0.14,0.62,0.38,5.70,2.64
14.57,39.58,3.94,-1.32,0.63,0.18,0.16,19.26,4.35
31.64,38.61,1.60,-1.16,0.18,0.34,0.45,17.02,1.92
9.90,10.50,1.20,0.0,0.50,1.00,0.00,0.85,0.00
2.89,12.65,2.74,-2.77,0.85,0.19,0.15,4.87,1.98
8.86,16.50,1.05,-0.90,0.47,0.26,0.24,8.27,1.06
1.43,15.30,6.20,0.0,0.91,0.10,0.00,4.62,2.24
24.17,32.23,11.50,0.0,0.25,1.00,0.00,16.26,15.53
41.13,41.90,3.66,-5.63,0.02,0.58,0.34,11.69,6.65
33.68,34.86,2.34,-3.13,0.04,0.59,0.40,12.42,3.36
40.80,41.45,1.64,-2.20,0.02,0.55,0.40,21.56,2.38
33.12,34.95,1.33,-1.83,0.06,0.52,0.35,12.27,1.88
3.08,11.25,3.90,-2.22,0.80,0.16,0.21,4.89,2.84
3.51,33.46,19.85,-0.91,0.90,0.00,0.03,10.25,1.65
37.67,38.06,2.10,-2.48,0.01,0.36,0.29,7.36,3.75
32.56,38.12,2.60,-3.82,0.18,0.58,0.37,17.69,4.06
29.50,35.29,2.36,-1.74,0.18,0.41,0.25,14.36,2.35
55.38,56.19,1.21,-1.69,0.02,0.43,0.29,18.28,2.24
22.54,23.71,4.96,-5.93,0.05,0.21,0.15,8.00,5.04
22.75,23.35,6.68,-2.86,0.04,0.25,0.33,5.01,5.76
8.03,28.75,3.37,-2.06,0.79,0.28,0.38,11.83,3.81
30.13,30.31,1.29,-1.55,0.01,0.49,0.38,9.56,1.77
5.73,15.70,1.55,-1.36,0.70,0.24,0.24,7.14,1.33
39.03,43.76,1.94,-1.94,0.11,0.45,0.44,17.32,4.33
43.13,43.68,1.74,-3.07,0.02,0.62,0.33,11.48,3.15
27.79,30.61,2.53,-2.44,0.12,0.57,0.43,11.53,3.23
23.31,33.04,1.87,-1.92,0.30,0.42,0.37,17.63,2.35
22.08,36.70,1.78,-1.42,0.40,0.25,0.28,19.36,1.97
19.02,31.18,2.17,-5.91,0.40,0.56,0.15,16.75,4.25
17.29,30.56,1.89,-1.60,0.45,0.33,0.36,16.49,1.89
6.71,27.76,2.37,-3.30,0.76,0.15,0.10,12.46,1.74
20.71,38.69,1.65,-1.74,0.47,0.28,0.24,21.34,1.90
25.90,30.89,2.01,-1.94,0.17,0.44,0.41,15.40,2.46
19.75,26.54,1.54,-1.65,0.26,0.40,0.33,12.90,1.79
2.64,12.05,4.43,-2.26,0.85,0.12,0.19,4.70,2.35
2.63,10.88,1.97,-1.85,0.86,0.17,0.17,4.23,1.32
13.46,14.64,2.18,-1.68,0.22,0.50,0.50,3.06,2.34
17.93,28.22,2.07,-1.63,0.39,0.38,0.32,14.20,1.97
1.19,14.39,2.60,-2.43,0.92,0.06,0.03,4.06,1.06
2.57,22.79,2.48,-3.46,0.89,0.07,0.04,7.42,1.32
2.14,16.98,2.17,-2.02,0.90,0.10,0.09,5.32,1.17
33.37,44.71,1.98,-1.80,0.26,0.35,0.38,23.53,2.31
26.96,27.53,1.56,-1.69,0.03,0.51,0.45,8.01,2.09
11.96,24.91,2.16,-1.55,0.54,0.22,0.29,12.88,1.89
2.28,10.10,2.04,-3.03,0.91,0.24,0.14,3.89,2.09
16.36,33.64,2.68,-2.20,0.53,0.28,0.29,18.87,3.99
27.24,29.98,1.21,-1.43,0.10,0.47,0.36,10.84,1.79
17.88,23.18,2.05,-1.66,0.24,0.35,0.40,10.98,2.39
5.82,13.76,1.50,-1.04,0.66,0.35,0.45,6.16,2.25
23.14,23.26,1.23,-1.20,0.01,0.52,0.40,9.23,2.32
23.24,28.80,1.56,-2.67,0.20,0.54,0.24,12.72,2.48
7.55,11.15,1.23,-1.20,0.85,0.50,0.33,2.08,1.23
12.37,12.98,2.75,-1.20,0.17,0.40,0.60,1.94,2.19
9.84,10.43,0.63,0.0,0.40,0.75,0.00,0.86,0.37
9.66,10.70,0.95,-0.55,0.80,0.50,0.50,0.74,0.89
9.97,10.20,0.20,0.0,0.67,1.00,0.00,0.21,0.14
10.59,13.13,1.56,-1.22,0.42,0.44,0.52,3.50,1.80
1.13,10.10,1.13,-0.98,1.00,0.11,0.12,2.27,0.68
28.02,28.61,0.70,-0.93,0.03,0.49,0.32,7.30,1.10
21.22,24.47,1.40,-1.35,0.15,0.48,0.45,10.46,2.02
21.40,31.21,1.05,-1.29,0.32,0.36,0.27,15.76,1.43
4.36,17.34,3.36,-1.59,0.75,0.11,0.17,7.78,1.84
34.86,35.32,1.33,-1.43,0.02,0.51,0.44,8.91,2.12
2.74,13.77,3.00,-1.70,0.83,0.09,0.14,5.37,1.62
23.97,33.85,1.01,-1.25,0.29,0.39,0.26,17.08,1.39
4.50,12.35,1.82,-1.70,0.66,0.29,0.07,5.97,1.59
28.99,30.36,1.66,-1.32,0.06,0.45,0.51,8.73,1.86
19.24,30.08,1.57,-2.16,0.37,0.41,0.23,15.25,2.21
18.73,20.29,1.24,-0.41,0.11,0.50,0.38,5.40,1.11
0.46,10.17,3.23,-0.97,0.96,0.06,0.04,2.06,1.27
9.08,12.64,1.08,-1.27,0.38,0.54,0.39,5.20,1.53
21.20,22.86,1.21,-0.86,0.12,0.40,0.40,6.92,1.28
10.59,31.02,2.24,-1.86,0.68,0.28,0.32,14.42,4.20
20.77,21.97,1.69,-0.87,0.09,0.35,0.61,6.13,1.65
2.61,14.75,1.56,-1.47,0.88,0.15,0.16,4.99,1.17
2.24,18.64,2.89,-1.31,0.90,0.06,0.10,5.99,1.08
9.40,10.90,1.00,-0.27,0.62,0.43,0.43,1.27,0.75
11.66,28.04,1.25,-1.21,0.65,0.40,0.33,13.36,1.54
18.78,29.44,1.91,-4.09,0.38,0.55,0.24,15.54,3.06
39.12,40.41,1.28,-1.84,0.04,0.60,0.39,15.09,2.07
30.84,33.28,1.67,-2.35,0.09,0.56,0.35,11.49,2.48
8.28,24.43,1.85,-1.68,0.67,0.18,0.17,12.16,1.44
17.39,38.62,3.08,-3.66,0.56,0.28,0.21,19.99,4.41
3.32,12.40,2.15,-2.32,0.89,0.24,0.20,4.61,2.23
8.97,20.86,2.46,-1.69,0.59,0.21,0.27,10.69,1.82
9.16,22.22,1.38,-1.28,0.60,0.21,0.21,11.49,1.09
2.99,22.65,2.26,-1.78,0.87,0.08,0.09,7.82,1.78
15.55,22.69,1.41,-2.45,0.36,0.47,0.26,12.06,2.17
9.29,10.45,1.07,-0.13,0.43,0.50,0.50,1.48,0.99
27.91,28.64,1.40,-1.29,0.04,0.44,0.47,8.61,1.74
9.74,10.60,1.00,-0.30,0.50,0.43,0.29,1.14,0.69
28.26,40.46,1.23,-1.79,0.31,0.41,0.26,24.05,3.23
5.75,13.30,3.13,-1.50,0.92,0.27,0.36,2.83,3.27
23.97,31.86,1.41,-1.29,0.26,0.38,0.40,14.90,1.78
11.42,19.63,1.14,-1.01,0.45,0.25,0.27,10.02,1.15
8.65,18.43,2.88,-1.17,0.59,0.21,0.39,8.70,1.88
17.67,23.42,1.42,-0.70,0.33,0.53,0.31,9.58,1.27
45.98,47.55,1.66,-1.98,0.03,0.46,0.38,24.14,6.29
18.37,26.85,1.51,-1.34,0.34,0.41,0.39,13.90,1.71
20.93,33.00,1.12,-2.00,0.39,0.49,0.24,16.96,1.65
42.96,43.94,1.15,-1.50,0.02,0.50,0.37,12.69,2.32
12.27,13.72,1.67,0.0,0.33,0.60,0.00,2.29,1.63
11.87,14.02,1.58,-0.23,0.33,0.62,0.38,3.57,1.46
35.16,35.35,1.02,-1.10,0.01,0.43,0.18,9.10,1.05
41.56,43.56,1.66,-0.60,0.05,0.52,0.13,11.84,1.70
30.05,31.39,2.11,-3.13,0.05,0.57,0.31,11.70,4.16
0.43,12.30,12.30,-7.00,0.98,0.02,0.02,2.09,2.15
38.29,44.34,1.41,-1.31,0.14,0.43,0.33,17.42,1.96
16.37,24.75,1.50,-2.59,0.35,0.42,0.23,12.60,2.37
7.49,21.07,1.79,-1.74,0.64,0.22,0.16,10.58,1.98
4.41,10.82,1.15,-1.60,0.77,0.40,0.20,4.66,1.59
12.33,16.43,1.29,-1.05,0.39,0.47,0.50,5.82,1.42
9.66,29.59,3.07,-2.14,0.70,0.19,0.24,15.05,3.40
21.23,35.34,1.17,-1.24,0.42,0.37,0.33,18.13,2.16
40.27,45.60,1.26,-2.23,0.12,0.56,0.30,19.87,2.04
15.35,38.59,1.54,-2.29,0.61,0.24,0.16,20.25,1.62
22.40,34.31,1.70,-5.10,0.36,0.68,0.02,18.74,1.87
48.64,48.84,1.00,-1.42,0.00,0.53,0.36,13.17,3.99
27.64,38.17,1.19,-0.97,0.28,0.30,0.34,18.01,1.26
15.90,17.63,1.17,-1.64,0.20,0.58,0.37,4.77,1.88
10.01,31.82,2.82,-1.77,0.74,0.21,0.31,13.98,3.71
8.87,30.27,2.70,-2.51,0.71,0.18,0.13,14.63,1.92
30.88,42.84,1.14,-1.40,0.29,0.42,0.33,22.11,2.22
43.92,67.44,1.54,-1.47,0.35,0.31,0.31,36.17,1.79
90.63,91.60,0.94,-1.03,0.01,0.29,0.26,24.09,3.14
39.54,48.90,1.38,-1.95,0.19,0.43,0.28,22.71,2.72
14.21,16.39,1.85,-3.20,0.30,0.67,0.22,4.29,2.55
3.43,15.80,2.42,-3.12,0.87,0.27,0.13,5.56,1.93
0.86,12.53,1.96,-1.59,0.95,0.04,0.05,3.06,0.74
3.13,11.54,2.17,-2.46,0.89,0.20,0.16,4.35,1.96
8.28,10.30,5.30,-2.25,0.80,0.25,0.50,2.02,3.66
7.54,10.30,1.87,-0.73,0.78,0.38,0.38,2.01,1.26
22.26,24.02,2.39,-1.90,0.11,0.16,0.15,10.13,2.57
43.72,44.09,1.38,-1.42,0.01,0.49,0.44,14.68,2.44
50.23,52.45,0.97,-1.33,0.04,0.53,0.38,14.95,1.86
13.22,42.44,1.42,-1.45,0.70,0.24,0.12,21.48,1.04
63.06,69.37,1.52,-2.95,0.09,0.60,0.29,27.22,3.28
24.63,28.02,1.12,-1.58,0.15,0.55,0.39,10.63,1.95
8.94,13.17,2.53,-1.32,0.36,0.29,0.38,6.23,2.31
9.56,11.75,1.37,-0.93,0.57,0.46,0.54,2.24,1.44
35.50,44.03,2.77,-2.91,0.20,0.39,0.35,20.48,4.74
24.20,40.23,1.27,-2.11,0.42,0.48,0.27,21.34,1.91
40.24,43.84,1.13,-1.52,0.09,0.51,0.37,19.34,1.95
10.71,16.98,2.48,-1.93,0.41,0.38,0.38,8.25,2.84
7.31,16.11,1.40,-1.81,0.63,0.36,0.25,7.55,1.62
13.47,18.72,3.51,-1.87,0.29,0.30,0.39,9.32,2.99
7.87,14.28,0.82,-0.90,0.57,0.39,0.34,6.31,1.07
15.81,19.45,1.42,-1.61,0.21,0.47,0.37,7.93,2.07
18.74,42.95,1.45,-1.82,0.57,0.30,0.17,22.53,1.48
21.58,22.65,3.16,-1.74,0.08,0.38,0.58,5.99,3.36
62.29,65.96,1.59,-3.20,0.06,0.43,0.19,26.89,5.16
0.65,13.75,4.76,-1.80,0.95,0.02,0.03,2.97,1.04
30.86,30.90,2.78,-3.59,0.00,0.09,0.06,6.28,1.86
2.52,15.67,0.95,-1.04,0.85,0.12,0.09,5.60,0.66
36.78,37.79,2.69,-1.54,0.03,0.49,0.48,11.42,4.95
16.61,30.56,1.69,-1.40,0.46,0.28,0.24,16.43,1.65
7.87,11.10,1.80,-1.25,0.83,0.60,0.40,1.96,1.91
6.99,10.73,1.27,-1.38,0.80,0.50,0.43,2.86,1.51
9.95,10.50,1.10,0.0,0.50,1.00,0.00,0.78,0.00
3.25,10.25,1.16,-1.29,0.93,0.33,0.26,3.35,1.25
10.00,10.50,0.75,-0.60,0.50,0.67,0.33,0.65,0.85
1.39,12.17,0.84,-0.98,0.97,0.18,0.14,2.67,0.67
14.40,36.72,0.97,-1.14,0.64,0.35,0.25,17.71,1.12
1.30,10.93,2.28,-2.57,0.94,0.08,0.06,3.37,1.37
10.42,10.60,0.65,-1.10,0.25,0.67,0.33,0.57,1.01
13.78,14.68,1.19,-1.42,0.15,0.55,0.42,3.21,1.64
11.68,15.24,1.67,-1.82,0.42,0.61,0.22,4.76,1.89
7.58,10.40,1.48,-4.00,0.88,0.86,0.14,1.77,2.44
13.86,13.99,1.57,-1.88,0.03,0.53,0.36,2.02,2.32
8.95,11.20,2.50,-2.90,0.75,0.67,0.33,2.01,3.93
11.84,13.75,1.27,0.0,0.43,1.00,0.00,2.95,1.27
14.64,16.00,6.80,0.0,0.20,0.25,0.00,3.04,3.40
6.23,16.00,10.25,-4.50,0.67,0.40,0.20,7.77,7.72
15.62,17.08,1.96,-2.05,0.17,0.64,0.18,3.62,2.42
13.40,17.10,14.80,0.0,0.25,0.33,0.00,7.40,8.54
9.43,17.10,15.40,-0.10,0.50,0.33,0.33,8.86,8.92
9.80,17.10,8.55,0.0,0.44,0.25,0.00,8.70,5.04
4.32,12.30,2.82,-2.36,0.91,0.45,0.42,3.36,3.00
9.82,13.90,5.90,-1.30,0.40,0.50,0.25,5.61,5.47
17.65,18.52,4.66,-3.40,0.06,0.31,0.12,4.76,3.28
14.49,20.20,8.90,-0.60,0.33,0.14,0.14,8.37,4.43
3.00,50.35,20.27,-5.87,0.96,0.07,0.07,10.29,8.74
12.65,25.10,24.90,0.0,0.50,1.00,0.00,17.61,0.00
2.65,10.00,9.80,0.0,0.75,0.33,0.00,4.90,5.66
3.01,22.90,11.35,0.0,0.90,0.22,0.00,7.19,5.82
11.67,30.21,1.87,-3.49,0.70,0.14,0.04,12.78,1.46
22.73,26.27,2.43,-3.41,0.15,0.60,0.28,11.44,3.06
20.69,24.04,2.06,-2.70,0.16,0.56,0.39,10.34,3.51
8.77,26.06,1.80,-2.42,0.67,0.23,0.11,13.30,1.72
27.97,37.09,1.32,-1.45,0.26,0.41,0.35,17.17,1.79
28.72,30.12,1.51,-1.08,0.05,0.41,0.53,11.38,1.80
5.76,14.83,1.45,-1.22,0.68,0.28,0.32,6.87,1.44
31.06,34.64,2.06,-1.17,0.11,0.36,0.50,13.43,2.12
23.96,35.40,0.81,-0.87,0.32,0.33,0.27,17.71,1.25
2.79,12.81,2.42,-1.57,0.81,0.12,0.13,5.15,1.40
11.93,15.00,2.30,-1.10,0.44,0.75,0.25,4.65,1.82
23.32,28.61,1.18,-1.20,0.20,0.50,0.31,13.28,1.61
26.87,45.21,1.44,-1.94,0.41,0.35,0.24,23.82,2.28
18.95,39.04,2.18,-2.84,0.52,0.27,0.18,20.74,2.31
33.01,36.01,1.17,-1.42,0.09,0.49,0.36,13.06,1.93
0.66,10.60,5.30,-3.27,0.98,0.04,0.06,2.37,1.58
24.01,25.71,1.94,-1.76,0.10,0.46,0.50,8.84,2.28
23.43,40.06,2.19,-2.36,0.43,0.44,0.35,20.10,6.02
12.97,24.91,2.78,-1.70,0.49,0.22,0.34,13.31,2.27
2.86,13.45,1.00,-1.03,0.91,0.28,0.25,4.10,0.96
8.75,10.35,0.82,-0.90,0.75,0.57,0.29,1.20,0.91
11.81,14.15,1.52,-1.64,0.27,0.56,0.44,4.70,1.96
12.09,34.65,1.47,-1.34,0.66,0.19,0.20,17.11,1.22
22.01,41.96,4.49,-2.17,0.48,0.19,0.36,21.67,5.98
35.22,36.09,1.25,-0.89,0.03,0.41,0.55,13.42,1.56
27.13,38.04,1.08,-1.88,0.29,0.47,0.23,19.96,1.84
11.98,38.55,1.93,-2.89,0.69,0.22,0.13,18.72,2.06
18.71,32.54,2.51,-2.45,0.43,0.35,0.31,17.42,2.72
37.87,41.81,1.16,-1.45,0.10,0.50,0.39,16.06,1.57
3.01,15.19,2.50,-2.59,0.88,0.14,0.12,5.48,1.76
33.54,36.79,1.28,-1.96,0.09,0.55,0.35,14.55,2.12
8.70,10.30,1.35,0.0,0.67,1.00,0.00,1.42,1.06
20.19,23.34,1.57,-1.08,0.14,0.37,0.50,9.22,2.65
40.00,48.35,1.21,-1.22,0.18,0.39,0.38,20.46,2.87
42.26,46.95,1.25,-1.59,0.10,0.51,0.35,18.66,2.24
49.56,49.88,1.29,-1.42,0.01,0.53,0.42,14.89,2.77
11.58,19.56,2.14,-2.47,0.42,0.35,0.25,9.93,2.47
31.06,32.85,1.90,-1.98,0.07,0.51,0.44,10.56,2.45
19.18,20.41,1.78,-1.52,0.11,0.46,0.50,5.65,2.08
23.04,25.23,2.31,-2.08,0.11,0.48,0.43,7.60,5.26
1.15,10.63,2.14,-0.10,0.93,0.12,0.02,3.10,0.81
8.90,11.20,0.94,0.0,0.71,0.83,0.00,1.96,0.65
18.56,19.58,1.48,-0.77,0.09,0.50,0.41,5.15,1.30
10.29,13.14,2.29,-0.84,0.27,0.36,0.48,5.37,1.75
9.93,10.10,0.50,0.0,0.33,0.50,0.00,0.29,0.35
19.20,24.79,2.57,-2.14,0.35,0.47,0.53,9.63,4.52
14.94,26.81,1.17,-1.78,0.45,0.33,0.18,14.82,1.30
0.22,12.35,14.00,-3.67,0.99,0.01,0.02,1.58,1.35
22.07,22.58,1.59,-1.75,0.04,0.54,0.46,6.55,2.16
21.45,25.60,1.80,-2.05,0.17,0.56,0.33,9.98,2.42
23.46,24.17,1.21,-1.01,0.04,0.44,0.50,5.44,1.53
10.37,11.12,1.47,-0.90,0.33,0.60,0.40,1.32,1.44
9.90,11.33,2.55,-1.35,0.40,0.50,0.50,2.10,2.66
12.50,12.73,0.91,-0.82,0.07,0.54,0.38,1.14,1.02
11.33,11.63,1.60,-1.27,0.14,0.50,0.50,1.28,1.68
13.34,14.35,1.20,-1.11,0.18,0.44,0.44,2.61,1.48
9.34,10.10,0.80,-0.53,0.88,0.43,0.57,0.77,0.94
10.77,16.61,1.30,-1.72,0.53,0.58,0.39,6.18,1.96
12.45,15.35,1.35,-0.94,0.31,0.38,0.50,4.91,1.58
1.17,12.50,0.94,-1.02,0.96,0.09,0.07,2.98,0.52
38.15,39.77,1.06,-1.37,0.05,0.48,0.36,13.98,2.05
33.70,43.73,0.99,-1.22,0.23,0.40,0.31,20.58,1.42
25.83,39.02,0.82,-0.53,0.34,0.32,0.27,19.06,1.00
45.98,47.01,1.84,-2.11,0.02,0.50,0.40,11.51,5.31
1.48,10.35,1.56,-1.17,0.94,0.22,0.22,3.02,1.38
13.56,14.38,1.59,-1.14,0.13,0.50,0.50,2.92,1.68
1.16,13.05,2.70,-1.65,0.97,0.07,0.09,3.08,1.02
12.88,16.53,1.60,-0.67,0.47,0.44,0.50,4.51,1.47
20.17,25.61,2.92,-1.55,0.22,0.31,0.51,11.92,4.91
5.80,10.30,1.43,-0.83,0.91,0.60,0.30,2.95,1.21
20.60,30.46,1.52,-1.71,0.35,0.44,0.34,14.93,1.90
9.52,14.41,1.51,-1.46,0.38,0.34,0.34,6.75,1.79
38.99,39.39,1.04,-1.22,0.01,0.52,0.43,9.70,1.59
50.66,54.55,1.23,-0.55,0.08,0.59,0.33,20.01,1.19
33.82,42.93,1.47,-1.71,0.22,0.42,0.32,20.54,2.15
51.73,51.98,1.15,-1.06,0.01,0.48,0.44,16.88,1.48
2.80,13.85,3.02,-2.22,0.85,0.13,0.13,5.25,1.72
35.24,36.62,1.18,-1.87,0.05,0.63,0.37,14.00,1.99
25.08,32.26,1.18,-1.12,0.23,0.44,0.33,15.60,1.33
28.69,37.14,1.25,-1.21,0.23,0.41,0.35,17.89,1.43
24.92,49.89,1.89,-1.53,0.50,0.22,0.26,28.15,4.22
17.26,17.74,1.26,-1.37,0.05,0.47,0.41,4.46,1.54
