filePath,平均速度,平均行驶速度,平均加速度,平均减速度,怠速时间比,加速时间比,减速时间比,速度标准差,加速度标准差
processed_data/file1_fragments/fragment20.csv,14.74,21.16,1.35,-1.20,0.32,0.34,0.38,10.53,1.42
processed_data/file1_fragments/fragment21.csv,9.27,10.80,2.40,-2.70,0.50,0.67,0.33,2.10,3.35
processed_data/file1_fragments/fragment22.csv,1.23,10.75,1.21,-0.92,0.98,0.16,0.19,2.23,0.94
processed_data/file1_fragments/fragment23.csv,10.94,12.16,1.42,-1.20,0.36,0.50,0.50,1.95,1.70
processed_data/file1_fragments/fragment24.csv,5.60,13.67,1.56,-1.35,0.75,0.40,0.43,5.62,2.15
processed_data/file1_fragments/fragment25.csv,13.23,14.35,0.96,-0.82,0.20,0.64,0.36,2.81,1.09
processed_data/file1_fragments/fragment26.csv,2.79,12.22,2.01,-1.72,0.86,0.15,0.17,4.63,1.41
processed_data/file1_fragments/fragment27.csv,10.70,17.58,1.51,-1.82,0.56,0.55,0.38,7.45,2.31
processed_data/file1_fragments/fragment28.csv,17.71,21.05,1.56,-1.32,0.17,0.40,0.43,9.11,1.72
processed_data/file1_fragments/fragment29.csv,1.13,10.40,3.10,-1.22,0.98,0.08,0.18,2.63,1.41
processed_data/file1_fragments/fragment30.csv,20.98,25.63,1.57,-1.13,0.20,0.37,0.47,11.45,1.62
processed_data/file1_fragments/fragment31.csv,26.76,28.08,1.38,-1.76,0.06,0.54,0.41,7.77,1.96
processed_data/file1_fragments/fragment32.csv,17.16,28.02,1.40,-1.34,0.40,0.32,0.31,14.73,1.65
processed_data/file1_fragments/fragment33.csv,15.05,28.46,1.30,-1.87,0.48,0.32,0.19,15.57,1.53
processed_data/file1_fragments/fragment34.csv,14.67,28.08,1.18,-1.72,0.50,0.34,0.23,15.29,1.46
processed_data/file1_fragments/fragment35.csv,4.79,16.50,2.38,-2.60,0.75,0.21,0.15,7.25,1.96
processed_data/file1_fragments/fragment36.csv,20.68,38.00,1.18,-1.57,0.46,0.33,0.24,19.85,1.52
processed_data/file1_fragments/fragment37.csv,8.20,18.48,1.77,-2.48,0.57,0.38,0.19,9.32,2.14
processed_data/file1_fragments/fragment38.csv,29.13,30.05,1.58,-1.53,0.04,0.46,0.43,8.28,1.96
processed_data/file1_fragments/fragment39.csv,2.20,14.58,3.94,-1.98,0.89,0.10,0.16,4.83,1.87
processed_data/file1_fragments/fragment40.csv,26.78,30.08,1.86,-1.78,0.12,0.45,0.45,9.95,3.98
processed_data/file1_fragments/fragment41.csv,20.31,31.86,1.31,-1.59,0.40,0.43,0.31,15.86,1.68
processed_data/file1_fragments/fragment42.csv,33.98,35.86,1.14,-1.30,0.05,0.50,0.41,11.32,1.77
processed_data/file1_fragments/fragment43.csv,14.78,25.31,1.14,-1.17,0.43,0.30,0.27,13.25,1.38
processed_data/file1_fragments/fragment44.csv,3.95,10.54,1.36,-1.96,0.79,0.25,0.16,4.59,1.67
processed_data/file1_fragments/fragment45.csv,1.12,10.50,3.50,-1.33,0.98,0.06,0.14,2.57,1.05
processed_data/file1_fragments/fragment46.csv,8.46,14.24,1.32,-1.28,0.51,0.39,0.34,6.22,1.38
processed_data/file1_fragments/fragment47.csv,19.45,23.82,1.43,-1.18,0.20,0.43,0.48,10.39,1.89
processed_data/file1_fragments/fragment48.csv,2.92,12.17,3.20,-2.30,0.87,0.18,0.23,4.76,2.46
processed_data/file1_fragments/fragment49.csv,3.63,12.29,0.80,-1.14,0.83,0.41,0.22,4.41,0.98
processed_data/file1_fragments/fragment50.csv,3.89,11.50,11.50,-1.80,0.90,0.11,0.56,4.49,4.43
processed_data/file1_fragments/fragment51.csv,5.50,13.84,1.04,-1.15,0.65,0.28,0.23,6.48,1.01
processed_data/file1_fragments/fragment52.csv,16.05,22.64,1.03,-1.20,0.31,0.39,0.29,10.90,1.22
processed_data/file1_fragments/fragment53.csv,10.11,18.30,1.23,-1.34,0.49,0.32,0.27,8.97,1.25
processed_data/file1_fragments/fragment54.csv,5.13,14.12,1.20,-1.24,0.78,0.42,0.32,5.50,1.49
processed_data/file1_fragments/fragment55.csv,18.95,20.20,1.65,-1.83,0.10,0.54,0.43,5.39,2.20
processed_data/file1_fragments/fragment56.csv,7.73,15.85,1.52,-1.48,0.58,0.47,0.30,7.74,1.94
processed_data/file1_fragments/fragment57.csv,8.87,14.52,1.54,-1.40,0.55,0.53,0.47,5.69,1.95
processed_data/file1_fragments/fragment58.csv,26.67,27.66,1.02,-1.68,0.05,0.63,0.35,10.35,1.58
processed_data/file1_fragments/fragment59.csv,16.99,25.14,0.95,-1.12,0.34,0.37,0.30,13.75,1.21
processed_data/file1_fragments/fragment60.csv,10.31,16.06,1.08,-1.20,0.42,0.40,0.33,7.33,1.24
processed_data/file1_fragments/fragment61.csv,6.96,11.80,0.71,-0.91,0.81,0.54,0.35,2.78,0.99
processed_data/file1_fragments/fragment62.csv,5.52,16.29,1.29,-1.10,0.69,0.25,0.24,7.64,1.22
processed_data/file1_fragments/fragment63.csv,3.99,13.92,1.88,-1.30,0.87,0.20,0.24,5.08,1.31
processed_data/file1_fragments/fragment64.csv,11.90,13.44,1.75,-2.20,0.38,0.57,0.43,2.83,2.59
processed_data/file1_fragments/fragment65.csv,10.23,24.96,1.14,-1.45,0.66,0.35,0.24,11.44,1.28
processed_data/file1_fragments/fragment66.csv,13.00,17.13,1.92,-1.43,0.27,0.40,0.47,7.86,2.10
processed_data/file1_fragments/fragment67.csv,4.05,21.07,1.43,-2.34,0.82,0.16,0.08,8.23,1.21
processed_data/file1_fragments/fragment68.csv,13.52,18.73,1.27,-2.93,0.30,0.62,0.22,9.30,2.29
processed_data/file1_fragments/fragment69.csv,24.02,25.76,0.95,-1.95,0.10,0.65,0.25,8.31,1.64
processed_data/file1_fragments/fragment70.csv,16.27,35.23,1.48,-2.52,0.54,0.30,0.16,19.10,1.84
processed_data/file1_fragments/fragment71.csv,24.23,32.50,1.22,-1.90,0.27,0.49,0.30,14.97,2.33
processed_data/file1_fragments/fragment72.csv,30.69,34.42,1.60,-2.75,0.11,0.67,0.29,15.05,2.75
processed_data/file1_fragments/fragment73.csv,13.80,19.67,2.12,-2.27,0.32,0.40,0.33,9.65,2.59
processed_data/file1_fragments/fragment74.csv,13.19,14.82,1.39,-1.16,0.21,0.50,0.44,4.00,1.59
processed_data/file1_fragments/fragment75.csv,15.03,19.21,12.60,-1.62,0.26,0.11,0.83,8.77,6.30
processed_data/file1_fragments/fragment76.csv,10.39,19.14,1.90,-1.20,0.48,0.26,0.38,9.61,1.99
processed_data/file1_fragments/fragment77.csv,10.65,11.20,0.77,0.0,0.25,1.00,0.00,1.10,1.15
processed_data/file1_fragments/fragment78.csv,33.43,35.67,1.12,-1.56,0.07,0.50,0.33,10.12,3.18
processed_data/file1_fragments/fragment79.csv,27.28,30.35,0.99,-0.54,0.12,0.53,0.37,9.16,1.04
processed_data/file1_fragments/fragment80.csv,31.40,32.39,1.13,-1.56,0.03,0.58,0.36,10.66,1.90
processed_data/file1_fragments/fragment81.csv,11.77,19.42,1.04,-1.72,0.44,0.49,0.27,9.62,1.49
processed_data/file1_fragments/fragment82.csv,13.86,14.18,0.91,-1.32,0.07,0.64,0.29,2.46,1.19
processed_data/file1_fragments/fragment83.csv,12.19,14.02,1.74,-1.73,0.33,0.62,0.38,3.05,2.10
processed_data/file1_fragments/fragment84.csv,9.87,16.29,2.33,-1.11,0.41,0.32,0.54,8.00,3.89
processed_data/file1_fragments/fragment85.csv,1.79,12.44,1.32,-1.08,0.91,0.18,0.20,3.58,1.13
processed_data/file1_fragments/fragment86.csv,24.83,29.27,2.08,-1.99,0.17,0.45,0.41,12.57,2.90
processed_data/file1_fragments/fragment87.csv,38.78,40.61,1.32,-1.61,0.05,0.52,0.42,15.23,2.73
processed_data/file1_fragments/fragment88.csv,39.20,48.20,1.05,-1.33,0.19,0.43,0.33,22.33,2.30
processed_data/file1_fragments/fragment89.csv,41.46,43.53,0.98,-1.00,0.05,0.43,0.42,11.34,1.64
processed_data/file1_fragments/fragment90.csv,6.70,16.67,1.41,-1.04,0.73,0.29,0.35,6.95,1.51
processed_data/file1_fragments/fragment91.csv,18.41,32.76,0.99,-1.45,0.44,0.35,0.22,17.59,1.33
processed_data/file1_fragments/fragment92.csv,22.55,24.32,1.40,-1.17,0.11,0.47,0.47,6.92,1.80
processed_data/file1_fragments/fragment93.csv,2.69,13.95,1.43,-1.47,0.92,0.17,0.12,4.71,1.15
processed_data/file1_fragments/fragment94.csv,6.68,20.46,1.44,-1.59,0.68,0.17,0.14,9.74,1.46
processed_data/file1_fragments/fragment95.csv,4.20,10.70,1.05,-2.16,0.85,0.44,0.20,4.72,1.98
processed_data/file1_fragments/fragment96.csv,16.97,18.03,1.78,-0.78,0.07,0.31,0.59,4.78,2.84
processed_data/file1_fragments/fragment97.csv,33.53,38.56,0.93,-1.21,0.13,0.47,0.36,17.66,1.48
processed_data/file1_fragments/fragment98.csv,31.97,34.30,0.83,-0.89,0.07,0.45,0.41,11.33,1.39
processed_data/file1_fragments/fragment99.csv,17.60,29.49,0.95,-1.20,0.41,0.32,0.24,15.34,1.10
processed_data/file1_fragments/fragment100.csv,21.64,23.00,1.19,-0.95,0.06,0.44,0.47,7.91,1.91
processed_data/file1_fragments/fragment101.csv,18.73,23.05,0.88,-0.95,0.22,0.44,0.40,9.04,1.24
processed_data/file1_fragments/fragment102.csv,33.97,35.01,0.66,-0.67,0.03,0.43,0.41,8.04,0.92
processed_data/file1_fragments/fragment103.csv,17.61,19.32,1.20,-1.12,0.10,0.47,0.47,6.48,1.73
processed_data/file1_fragments/fragment104.csv,10.00,12.44,0.84,-0.91,0.38,0.54,0.46,3.50,1.08
processed_data/file1_fragments/fragment105.csv,3.29,10.85,0.79,-0.97,0.96,0.38,0.26,2.98,0.89
processed_data/file1_fragments/fragment106.csv,18.16,23.97,1.23,-1.61,0.26,0.45,0.33,10.87,1.57
processed_data/file1_fragments/fragment107.csv,13.31,20.96,1.26,-1.40,0.44,0.46,0.36,9.53,1.91
processed_data/file1_fragments/fragment108.csv,15.89,19.17,1.66,-1.85,0.25,0.52,0.41,7.45,2.11
processed_data/file1_fragments/fragment109.csv,8.11,10.83,1.60,-1.77,0.67,0.50,0.38,2.66,2.13
processed_data/file1_fragments/fragment110.csv,28.29,29.06,1.28,-2.06,0.04,0.58,0.35,7.53,2.08
processed_data/file1_fragments/fragment111.csv,6.47,11.05,2.15,-1.45,0.78,0.50,0.50,3.36,2.26
processed_data/file1_fragments/fragment112.csv,33.49,36.22,0.78,-0.82,0.08,0.43,0.41,12.33,1.63
processed_data/file1_fragments/fragment113.csv,28.35,32.51,1.00,-1.57,0.13,0.55,0.32,13.62,1.71
processed_data/file1_fragments/fragment114.csv,36.00,38.39,1.03,-1.09,0.07,0.48,0.44,11.44,1.69
processed_data/file1_fragments/fragment115.csv,12.86,30.98,1.31,-1.67,0.60,0.27,0.18,16.25,1.44
processed_data/file1_fragments/fragment116.csv,38.05,42.21,1.26,-1.37,0.10,0.49,0.37,15.28,1.97
processed_data/file1_fragments/fragment117.csv,0.76,11.70,1.09,-0.79,0.98,0.12,0.05,2.18,0.62
processed_data/file1_fragments/fragment118.csv,2.58,10.70,1.47,-1.40,0.96,0.22,0.20,3.70,1.12
processed_data/file1_fragments/fragment119.csv,19.43,30.55,1.31,-1.21,0.38,0.31,0.30,14.80,1.46
processed_data/file1_fragments/fragment120.csv,27.50,37.31,1.04,-3.08,0.27,0.55,0.18,19.09,2.09
processed_data/file1_fragments/fragment121.csv,49.96,56.53,0.87,-0.99,0.12,0.44,0.37,21.22,1.44
processed_data/file1_fragments/fragment122.csv,9.48,28.03,1.87,-2.22,0.68,0.25,0.17,13.91,1.73
processed_data/file1_fragments/fragment123.csv,29.78,33.04,13.03,-2.01,0.13,0.14,0.86,13.72,7.68
processed_data/file1_fragments/fragment124.csv,35.11,36.63,1.03,-0.71,0.04,0.37,0.51,13.63,1.27
processed_data/file1_fragments/fragment125.csv,7.36,19.19,2.25,-2.01,0.65,0.31,0.24,9.04,2.92
processed_data/file1_fragments/fragment126.csv,19.08,20.85,1.14,-1.55,0.12,0.55,0.36,6.22,1.54
processed_data/file1_fragments/fragment127.csv,7.51,15.93,2.84,-2.32,0.57,0.26,0.30,7.99,2.35
processed_data/file1_fragments/fragment128.csv,11.45,19.94,1.23,-1.01,0.51,0.37,0.42,9.01,1.53
processed_data/file1_fragments/fragment129.csv,14.85,22.34,1.48,-1.27,0.46,0.50,0.44,9.01,1.88
processed_data/file1_fragments/fragment130.csv,31.91,47.64,0.97,-1.65,0.33,0.41,0.23,25.25,1.52
processed_data/file1_fragments/fragment131.csv,27.69,29.31,1.65,-1.71,0.07,0.53,0.47,10.52,1.98
processed_data/file1_fragments/fragment132.csv,74.32,81.14,1.23,-1.00,0.08,0.34,0.41,26.05,4.33
processed_data/file1_fragments/fragment133.csv,66.64,68.78,0.93,-1.02,0.03,0.46,0.41,19.44,1.48
processed_data/file1_fragments/fragment134.csv,15.23,15.50,2.02,-1.58,0.04,0.45,0.55,3.10,2.10
processed_data/file1_fragments/fragment135.csv,1.07,11.13,3.48,-1.88,0.95,0.06,0.10,2.84,1.24
processed_data/file1_fragments/fragment136.csv,10.40,11.82,0.95,-1.02,0.54,0.50,0.42,1.68,1.21
processed_data/file1_fragments/fragment137.csv,13.35,17.50,1.43,-1.30,0.24,0.38,0.38,8.42,1.98
processed_data/file1_fragments/fragment138.csv,11.60,20.01,1.29,-1.06,0.45,0.31,0.34,10.00,1.26
processed_data/file1_fragments/fragment139.csv,25.13,26.39,1.22,-1.97,0.06,0.60,0.35,8.14,2.09
processed_data/file1_fragments/fragment140.csv,27.17,33.13,1.90,-3.92,0.19,0.60,0.27,17.64,3.22
processed_data/file1_fragments/fragment141.csv,14.89,38.55,1.88,-1.88,0.62,0.22,0.19,20.10,1.57
processed_data/file1_fragments/fragment142.csv,22.71,37.38,2.28,-2.25,0.40,0.35,0.34,20.24,2.32
processed_data/file1_fragments/fragment143.csv,24.78,38.51,1.81,-2.45,0.36,0.40,0.27,19.89,2.22
processed_data/file1_fragments/fragment144.csv,17.77,34.39,2.39,-4.74,0.49,0.36,0.17,19.12,3.30
processed_data/file1_fragments/fragment145.csv,12.63,14.86,2.05,-1.30,0.30,0.67,0.33,4.18,1.85
processed_data/file1_fragments/fragment146.csv,3.02,10.10,5.05,0.0,0.80,0.50,0.00,4.51,2.92
processed_data/file1_fragments/fragment147.csv,6.91,14.38,1.05,-0.78,0.68,0.47,0.50,5.53,1.44
processed_data/file1_fragments/fragment148.csv,16.99,18.22,1.61,-3.05,0.12,0.73,0.27,5.65,2.72
processed_data/file1_fragments/fragment149.csv,14.67,24.72,0.80,-1.05,0.48,0.50,0.35,11.61,1.27
processed_data/file1_fragments/fragment150.csv,19.43,29.13,1.32,-1.15,0.35,0.33,0.35,13.98,1.44
processed_data/file1_fragments/fragment151.csv,22.03,26.13,1.20,-1.79,0.20,0.62,0.32,9.94,2.00
processed_data/file1_fragments/fragment152.csv,14.18,29.44,1.16,-1.26,0.52,0.25,0.23,15.56,1.12
processed_data/file1_fragments/fragment153.csv,44.18,60.20,2.04,-1.24,0.27,0.39,0.40,27.58,5.63
processed_data/file1_fragments/fragment154.csv,27.27,35.69,2.17,-2.32,0.24,0.47,0.33,18.48,2.44
processed_data/file1_fragments/fragment155.csv,15.19,28.49,1.91,-2.95,0.47,0.35,0.21,15.77,2.40
processed_data/file1_fragments/fragment156.csv,23.51,25.31,1.56,-1.89,0.10,0.55,0.38,8.26,2.21
processed_data/file1_fragments/fragment157.csv,41.43,44.09,1.25,-1.46,0.06,0.51,0.39,14.32,2.62
processed_data/file1_fragments/fragment158.csv,15.39,38.99,1.57,-3.18,0.61,0.29,0.12,20.90,1.94
processed_data/file1_fragments/fragment159.csv,32.17,36.16,1.50,-2.31,0.12,0.58,0.34,15.64,2.31
processed_data/file1_fragments/fragment160.csv,16.55,27.68,1.80,-3.35,0.42,0.47,0.21,14.79,2.44
processed_data/file1_fragments/fragment161.csv,2.38,11.43,0.87,-1.50,0.96,0.21,0.09,3.89,0.89
processed_data/file1_fragments/fragment162.csv,32.46,34.37,1.34,-1.56,0.06,0.50,0.42,9.56,3.19
processed_data/file1_fragments/fragment163.csv,9.80,10.10,0.60,0.0,0.50,1.00,0.00,0.42,0.00
processed_data/file1_fragments/fragment164.csv,25.63,26.82,1.36,-3.63,0.07,0.72,0.21,9.14,2.46
processed_data/file1_fragments/fragment165.csv,11.97,25.19,1.41,-1.95,0.53,0.30,0.13,12.86,1.73
processed_data/file1_fragments/fragment166.csv,0.42,11.40,5.85,-5.20,0.98,0.02,0.02,2.05,1.35
processed_data/file1_fragments/fragment167.csv,21.86,22.65,1.53,-1.08,0.06,0.42,0.52,6.28,1.59
processed_data/file1_fragments/fragment168.csv,0.60,15.00,2.80,-2.04,0.96,0.03,0.03,2.90,1.09
processed_data/file1_fragments/fragment169.csv,13.10,18.12,1.09,-2.04,0.32,0.55,0.28,8.48,2.00
processed_data/file1_fragments/fragment170.csv,22.76,23.57,1.88,-3.30,0.06,0.69,0.25,6.59,2.70
processed_data/file1_fragments/fragment171.csv,27.31,37.48,0.94,-1.78,0.27,0.46,0.22,17.92,1.89
processed_data/file1_fragments/fragment172.csv,26.34,30.63,1.41,-1.32,0.14,0.47,0.38,12.61,1.75
processed_data/file1_fragments/fragment173.csv,7.29,20.75,1.64,-1.68,0.67,0.22,0.18,10.04,1.41
processed_data/file1_fragments/fragment174.csv,6.20,10.79,2.58,-1.33,0.52,0.23,0.41,5.21,2.50
processed_data/file1_fragments/fragment175.csv,6.33,18.40,1.15,-1.07,0.68,0.19,0.19,8.76,1.01
processed_data/file1_fragments/fragment176.csv,12.37,13.75,1.67,-1.14,0.27,0.43,0.50,2.90,1.59
processed_data/file1_fragments/fragment177.csv,11.23,18.85,8.47,-1.97,0.47,0.17,0.61,8.78,5.60
processed_data/file1_fragments/fragment178.csv,8.14,22.43,1.38,-2.01,0.64,0.23,0.14,11.25,1.68
processed_data/file1_fragments/fragment179.csv,5.93,21.21,2.02,-1.84,0.73,0.15,0.14,9.73,1.43
processed_data/file1_fragments/fragment180.csv,3.95,14.48,2.05,-1.76,0.78,0.16,0.16,6.07,1.65
processed_data/file1_fragments/fragment181.csv,10.54,19.58,1.67,-2.17,0.49,0.36,0.23,9.89,1.85
processed_data/file1_fragments/fragment182.csv,32.14,35.88,1.08,-1.36,0.11,0.47,0.36,14.05,1.95
processed_data/file1_fragments/fragment183.csv,13.58,28.77,1.30,-2.07,0.53,0.31,0.18,15.47,1.61
processed_data/file1_fragments/fragment184.csv,4.30,11.18,1.50,-1.92,0.77,0.32,0.20,4.97,1.92
processed_data/file1_fragments/fragment185.csv,9.98,10.35,0.45,-0.10,0.50,0.67,0.33,0.44,0.40
processed_data/file1_fragments/fragment186.csv,17.04,21.45,1.23,-0.81,0.29,0.63,0.33,8.15,1.19
processed_data/file1_fragments/fragment187.csv,38.71,42.83,1.93,-1.72,0.10,0.46,0.45,16.29,4.66
processed_data/file1_fragments/fragment188.csv,47.96,58.32,0.95,-1.09,0.18,0.40,0.34,27.06,1.77
processed_data/file1_fragments/fragment189.csv,36.55,41.05,0.88,-1.11,0.11,0.46,0.36,15.68,1.25
processed_data/file1_fragments/fragment190.csv,17.40,22.10,1.08,-1.06,0.22,0.44,0.37,10.00,1.81
processed_data/file1_fragments/fragment191.csv,21.98,22.81,1.59,-1.38,0.06,0.45,0.48,6.81,1.71
processed_data/file1_fragments/fragment192.csv,27.52,32.48,1.06,-1.20,0.15,0.42,0.34,13.26,1.99
processed_data/file1_fragments/fragment193.csv,39.70,45.12,1.06,-1.20,0.12,0.46,0.38,18.15,1.41
processed_data/file1_fragments/fragment194.csv,40.99,43.24,1.36,-0.72,0.06,0.67,0.28,14.58,1.27
processed_data/file1_fragments/fragment195.csv,0.84,10.98,2.95,-1.30,0.93,0.07,0.02,2.86,0.97
processed_data/file1_fragments/fragment196.csv,31.64,31.74,1.04,-1.21,0.00,0.50,0.42,13.13,1.88
processed_data/file1_fragments/fragment197.csv,15.44,15.64,0.80,-1.20,0.03,0.54,0.34,3.00,1.16
processed_data/file1_fragments/fragment198.csv,10.23,12.12,1.25,-1.65,0.40,0.67,0.22,2.68,1.34
processed_data/file1_fragments/fragment199.csv,9.54,13.74,0.92,-1.35,0.62,0.60,0.30,3.72,1.24
processed_data/file1_fragments/fragment200.csv,22.08,22.46,0.88,-1.18,0.03,0.55,0.35,5.43,1.17
processed_data/file1_fragments/fragment201.csv,2.78,12.66,0.87,-0.79,0.97,0.27,0.28,2.79,0.96
processed_data/file1_fragments/fragment202.csv,7.97,10.25,1.73,-0.85,0.75,0.43,0.57,1.79,1.49
processed_data/file1_fragments/fragment203.csv,9.28,10.90,2.40,-0.70,0.75,0.33,0.33,1.13,1.63
processed_data/file1_fragments/fragment204.csv,2.26,10.00,2.23,-1.07,0.98,0.10,0.21,3.69,1.40
processed_data/file1_fragments/fragment205.csv,11.98,12.21,0.60,-1.45,0.10,0.67,0.22,1.27,1.00
processed_data/file1_fragments/fragment206.csv,6.55,14.35,1.19,-1.34,0.77,0.36,0.28,5.42,1.62
processed_data/file1_fragments/fragment207.csv,3.82,10.50,1.78,-1.42,0.86,0.30,0.30,4.23,1.67
processed_data/file1_fragments/fragment208.csv,3.67,10.87,1.16,-1.18,0.90,0.36,0.29,3.90,1.24
processed_data/file1_fragments/fragment209.csv,10.15,12.42,1.20,-0.90,0.50,0.45,0.36,2.53,1.22
processed_data/file1_fragments/fragment210.csv,5.11,11.26,1.70,-1.37,0.69,0.47,0.40,5.08,2.72
processed_data/file1_fragments/fragment211.csv,15.90,21.13,0.92,-2.06,0.33,0.64,0.24,8.55,1.59
processed_data/file1_fragments/fragment212.csv,18.99,22.25,1.32,-1.08,0.21,0.45,0.47,7.89,1.53
processed_data/file1_fragments/fragment213.csv,13.70,21.37,1.26,-1.41,0.38,0.37,0.31,10.35,1.60
processed_data/file1_fragments/fragment214.csv,7.35,16.30,2.27,-1.92,0.60,0.29,0.29,7.99,2.11
processed_data/file1_fragments/fragment215.csv,14.47,28.06,1.28,-1.42,0.49,0.30,0.23,15.14,1.31
processed_data/file1_fragments/fragment216.csv,7.21,21.53,1.97,-1.59,0.68,0.18,0.19,10.44,1.81
processed_data/file1_fragments/fragment217.csv,17.02,22.09,1.49,-1.58,0.32,0.57,0.40,9.18,1.91
processed_data/file1_fragments/fragment218.csv,9.04,10.20,1.00,-0.30,0.80,0.50,0.50,0.76,0.77
processed_data/file1_fragments/fragment219.csv,12.53,12.74,0.97,-0.75,0.07,0.50,0.43,1.80,1.04
processed_data/file1_fragments/fragment220.csv,2.97,11.05,1.17,-1.15,0.90,0.23,0.21,3.85,1.09
processed_data/file1_fragments/fragment221.csv,10.75,10.92,1.00,-0.60,0.17,0.40,0.60,0.78,0.92
processed_data/file1_fragments/fragment222.csv,9.50,10.10,0.60,-0.50,0.60,0.50,0.25,0.58,0.67
processed_data/file1_fragments/fragment223.csv,5.42,10.20,1.23,-1.10,0.95,0.41,0.44,3.21,2.00
processed_data/file1_fragments/fragment224.csv,14.64,14.88,0.82,-1.38,0.04,0.59,0.27,3.09,1.25
processed_data/file1_fragments/fragment225.csv,16.06,18.60,1.26,-0.87,0.22,0.42,0.51,5.96,1.33
processed_data/file1_fragments/fragment226.csv,18.71,19.69,1.12,-1.48,0.09,0.48,0.35,5.34,1.64
processed_data/file1_fragments/fragment227.csv,5.75,21.04,1.35,-1.19,0.78,0.22,0.20,8.76,1.14
processed_data/file1_fragments/fragment228.csv,13.19,24.69,1.36,-1.73,0.49,0.35,0.22,12.63,1.68
processed_data/file1_fragments/fragment229.csv,3.56,23.19,1.27,-1.61,0.85,0.09,0.07,8.57,0.76
processed_data/file1_fragments/fragment230.csv,11.93,18.84,1.65,-0.80,0.52,0.60,0.30,7.45,1.43
processed_data/file1_fragments/fragment231.csv,7.55,26.86,1.60,-2.09,0.72,0.17,0.09,12.73,1.33
processed_data/file1_fragments/fragment232.csv,10.02,23.88,1.68,-2.25,0.60,0.27,0.18,12.27,1.65
processed_data/file1_fragments/fragment233.csv,26.76,27.88,1.11,-1.42,0.06,0.52,0.37,7.60,1.52
processed_data/file1_fragments/fragment234.csv,6.40,25.15,2.95,-2.99,0.76,0.14,0.13,11.10,1.93
processed_data/file1_fragments/fragment235.csv,10.64,24.48,1.59,-1.11,0.58,0.27,0.19,12.23,1.68
processed_data/file1_fragments/fragment236.csv,8.40,15.32,2.07,-1.20,0.47,0.31,0.24,7.76,1.88
processed_data/file1_fragments/fragment237.csv,4.71,15.49,2.37,-1.99,0.75,0.22,0.22,6.81,1.86
processed_data/file1_fragments/fragment238.csv,2.78,16.62,2.18,-1.89,0.86,0.13,0.14,5.94,1.38
processed_data/file1_fragments/fragment239.csv,9.27,26.70,5.42,-2.02,0.66,0.10,0.22,13.28,3.98
processed_data/file1_fragments/fragment240.csv,18.72,25.67,1.54,-1.29,0.28,0.34,0.39,13.08,1.54
processed_data/file1_fragments/fragment241.csv,8.11,23.99,1.39,-1.30,0.67,0.18,0.18,11.74,1.22
processed_data/file1_fragments/fragment242.csv,11.52,24.50,1.41,-1.31,0.55,0.33,0.19,12.42,1.24
processed_data/file1_fragments/fragment243.csv,27.39,38.21,0.89,-1.17,0.28,0.37,0.25,19.01,1.24
